observation_date,NETEXC_19961127,NETEXC_19961220,NETEXC_19970131,NETEXC_19970228,NETEXC_19970328,NETEXC_19970430,NETEXC_19970530,NETEXC_19970627,NETEXC_19970731,NETEXC_19970828,NETEXC_19970926,NETEXC_19971031,NETEXC_19971126,NETEXC_19971223,NETEXC_19980130,NETEXC_19980227,NETEXC_19980326,NETEXC_19980430,NETEXC_19980528,NETEXC_19980625,NETEXC_19980731,NETEXC_19980827,NETEXC_19980924,NETEXC_19981030,NETEXC_19981124,NETEXC_19981223,NETEXC_19990129,NETEXC_19990226,NETEXC_19990331,NETEXC_19990430,NETEXC_19990527,NETEXC_19990625,NETEXC_19990729,NETEXC_19990826,NETEXC_19990930,NETEXC_19991028,NETEXC_19991029,NETEXC_19991124,NETEXC_19991222,NETEXC_20000128,NETEXC_20000225,NETEXC_20000330,NETEXC_20000403,NETEXC_20000427,NETEXC_20000525,NETEXC_20000629,NETEXC_20000728,NETEXC_20000825,NETEXC_20000928,NETEXC_20001027,NETEXC_20001129,NETEXC_20001221,NETEXC_20010131,NETEXC_20010228,NETEXC_20010329,NETEXC_20010427,NETEXC_20010525,NETEXC_20010629,NETEXC_20010727,NETEXC_20010829,NETEXC_20010928,NETEXC_20011031,NETEXC_20011130,NETEXC_20011221,NETEXC_20020130,NETEXC_20020228,NETEXC_20020328,NETEXC_20020426,NETEXC_20020524,NETEXC_20020627,NETEXC_20020731,NETEXC_20020829,NETEXC_20020927,NETEXC_20021031,NETEXC_20021126,NETEXC_20021220,NETEXC_20030130,NETEXC_20030228,NETEXC_20030327,NETEXC_20030425,NETEXC_20030529,NETEXC_20030626,NETEXC_20030731,NETEXC_20030828,NETEXC_20030926,NETEXC_20031030,NETEXC_20031125,NETEXC_20031210,NETEXC_20031223,NETEXC_20040130,NETEXC_20040227,NETEXC_20040325,NETEXC_20040429,NETEXC_20040527,NETEXC_20040625,NETEXC_20040730,NETEXC_20040827,NETEXC_20040929,NETEXC_20041029,NETEXC_20041130,NETEXC_20041222,NETEXC_20050128,NETEXC_20050225,NETEXC_20050330,NETEXC_20050428,NETEXC_20050526,NETEXC_20050629,NETEXC_20050729,NETEXC_20050831,NETEXC_20050929,NETEXC_20051028,NETEXC_20051130,NETEXC_20051221,NETEXC_20060127,NETEXC_20060228,NETEXC_20060330,NETEXC_20060428,NETEXC_20060525,NETEXC_20060629,NETEXC_20060728,NETEXC_20060830,NETEXC_20060928,NETEXC_20061027,NETEXC_20061129,NETEXC_20061221,NETEXC_20070131,NETEXC_20070228,NETEXC_20070329,NETEXC_20070427,NETEXC_20070531,NETEXC_20070628,NETEXC_20070727,NETEXC_20070830,NETEXC_20070927,NETEXC_20071031,NETEXC_20071129,NETEXC_20071220,NETEXC_20080130,NETEXC_20080228,NETEXC_20080327,NETEXC_20080430,NETEXC_20080529,NETEXC_20080731,NETEXC_20080828,NETEXC_20080926,NETEXC_20081030,NETEXC_20081125,NETEXC_20081223,NETEXC_20090130,NETEXC_20090227,NETEXC_20090326,NETEXC_20090429,NETEXC_20090529,NETEXC_20090625,NETEXC_20090731,NETEXC_20090817,NETEXC_20090827,NETEXC_20090930,NETEXC_20091029,NETEXC_20091124,NETEXC_20091222,NETEXC_20100129,NETEXC_20100226,NETEXC_20100326,NETEXC_20100430,NETEXC_20100527,NETEXC_20100625,NETEXC_20100730,NETEXC_20100827,NETEXC_20100930,NETEXC_20101029,NETEXC_20101123,NETEXC_20101222,NETEXC_20110128,NETEXC_20110225,NETEXC_20110325,NETEXC_20110428,NETEXC_20110526,NETEXC_20110624,NETEXC_20110729,NETEXC_20110826,NETEXC_20110929,NETEXC_20111027,NETEXC_20111122,NETEXC_20111222,NETEXC_20120127,NETEXC_20120229,NETEXC_20120329,NETEXC_20120427,NETEXC_20120531,NETEXC_20120628,NETEXC_20120727,NETEXC_20120829,NETEXC_20120927,NETEXC_20121026,NETEXC_20121129,NETEXC_20121220,NETEXC_20130130,NETEXC_20130228,NETEXC_20130328,NETEXC_20130426,NETEXC_20130530,NETEXC_20130626,NETEXC_20130731,NETEXC_20130829,NETEXC_20130926,NETEXC_20131107,NETEXC_20131205,NETEXC_20131220,NETEXC_20140130,NETEXC_20140228,NETEXC_20140430,NETEXC_20140529,NETEXC_20140625,NETEXC_20140730,NETEXC_20140828,NETEXC_20140926,NETEXC_20141030,NETEXC_20141125,NETEXC_20141223,NETEXC_20150130,NETEXC_20150227,NETEXC_20150327,NETEXC_20150429,NETEXC_20150529,NETEXC_20150624,NETEXC_20150730,NETEXC_20150827,NETEXC_20150925,NETEXC_20151029,NETEXC_20151124,NETEXC_20151222,NETEXC_20160129,NETEXC_20160226,NETEXC_20160325,NETEXC_20160428,NETEXC_20160527,NETEXC_20160628,NETEXC_20160729,NETEXC_20160826,NETEXC_20160929,NETEXC_20161028,NETEXC_20161129,NETEXC_20161222,NETEXC_20170127,NETEXC_20170330,NETEXC_20170428,NETEXC_20170526,NETEXC_20170629,NETEXC_20170728,NETEXC_20170830,NETEXC_20170928,NETEXC_20171027,NETEXC_20171129,NETEXC_20171221,NETEXC_20180126,NETEXC_20180228,NETEXC_20180328,NETEXC_20180427,NETEXC_20180530,NETEXC_20180628,NETEXC_20180727,NETEXC_20180829,NETEXC_20180927,NETEXC_20181026,NETEXC_20181128,NETEXC_20181221,NETEXC_20190228,NETEXC_20190328,NETEXC_20190426,NETEXC_20190530,NETEXC_20190627,NETEXC_20190726,NETEXC_20190829,NETEXC_20190926,NETEXC_20191030,NETEXC_20191127,NETEXC_20191220,NETEXC_20200130,NETEXC_20200227,NETEXC_20200326,NETEXC_20200429,NETEXC_20200528,NETEXC_20200625,NETEXC_20200730,NETEXC_20200827,NETEXC_20200930,NETEXC_20201029
1976-10-01,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,-49.2,,-52.9,-52.9,-52.9,-52.9,-52.9,,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,-50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397,-75.397
1977-01-01,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,,-70.8,-70.8,-70.8,-70.8,-70.8,,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015,-98.015
1977-04-01,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,-63.2,,-67.3,-67.3,-67.3,-67.3,-67.3,,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,-64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68,-93.68
1977-07-01,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,-56.9,,-60.8,-60.8,-60.8,-60.8,-60.8,,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,-57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792,-85.792
1977-10-01,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,-69.9,,-73.6,-73.6,-73.6,-73.6,-73.6,,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,-70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152,-101.152
1978-01-01,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,-84.9,,-88.9,-88.9,-88.9,-88.9,-88.9,,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,-86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81,-120.81
1978-04-01,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,-59.6,,-63.7,-63.7,-63.7,-63.7,-63.7,,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,-60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571,-90.571
1978-07-01,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,,-65.2,-65.2,-65.2,-65.2,-65.2,,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457,-92.457
1978-10-01,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,,-58.8,-58.8,-58.8,-58.8,-58.8,,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947,-84.947
1979-01-01,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,-55.7,,-57.6,-57.6,-57.6,-57.6,-57.6,,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484,-83.484
1979-04-01,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,,-58.8,-58.8,-58.8,-58.8,-58.8,,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,-56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918,-84.918
1979-07-01,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,-40.2,,-43.2,-43.2,-43.2,-43.2,-43.2,,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535,-65.535
1979-10-01,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,-29.1,,-32.4,-32.4,-32.4,-32.4,-32.4,,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,-30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937,-51.937
1980-01-01,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,,-22.6,-22.6,-22.6,-22.6,-22.6,,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394,-41.394
1980-04-01,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,,9.3,9.3,9.3,9.3,9.3,,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858,-1.858
1980-07-01,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,,31.6,31.6,31.6,31.6,31.6,,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69
