observation_date,W014RC1Q027SBEA_20130228,W014RC1Q027SBEA_20130328,W014RC1Q027SBEA_20130426,W014RC1Q027SBEA_20130530,W014RC1Q027SBEA_20130626,W014RC1Q027SBEA_20130731,W014RC1Q027SBEA_20130829,W014RC1Q027SBEA_20130926,W014RC1Q027SBEA_20131107,W014RC1Q027SBEA_20131220,W014RC1Q027SBEA_20140130,W014RC1Q027SBEA_20140228,W014RC1Q027SBEA_20140327,W014RC1Q027SBEA_20140430,W014RC1Q027SBEA_20140529,W014RC1Q027SBEA_20140625,W014RC1Q027SBEA_20140730,W014RC1Q027SBEA_20140828,W014RC1Q027SBEA_20140926,W014RC1Q027SBEA_20141030,W014RC1Q027SBEA_20141125,W014RC1Q027SBEA_20141223,W014RC1Q027SBEA_20150130,W014RC1Q027SBEA_20150227,W014RC1Q027SBEA_20150327,W014RC1Q027SBEA_20150429,W014RC1Q027SBEA_20150529,W014RC1Q027SBEA_20150730,W014RC1Q027SBEA_20150827,W014RC1Q027SBEA_20150925,W014RC1Q027SBEA_20151029,W014RC1Q027SBEA_20151124,W014RC1Q027SBEA_20151222,W014RC1Q027SBEA_20160129,W014RC1Q027SBEA_20160226,W014RC1Q027SBEA_20160325,W014RC1Q027SBEA_20160428,W014RC1Q027SBEA_20160527,W014RC1Q027SBEA_20160628,W014RC1Q027SBEA_20160729,W014RC1Q027SBEA_20160826,W014RC1Q027SBEA_20160929,W014RC1Q027SBEA_20161028,W014RC1Q027SBEA_20161129,W014RC1Q027SBEA_20161222,W014RC1Q027SBEA_20170127,W014RC1Q027SBEA_20170228,W014RC1Q027SBEA_20170330,W014RC1Q027SBEA_20170428,W014RC1Q027SBEA_20170526,W014RC1Q027SBEA_20170629,W014RC1Q027SBEA_20170728,W014RC1Q027SBEA_20170830,W014RC1Q027SBEA_20170928,W014RC1Q027SBEA_20171027,W014RC1Q027SBEA_20171129,W014RC1Q027SBEA_20171221,W014RC1Q027SBEA_20180126,W014RC1Q027SBEA_20180228,W014RC1Q027SBEA_20180328,W014RC1Q027SBEA_20180427,W014RC1Q027SBEA_20180530,W014RC1Q027SBEA_20180628,W014RC1Q027SBEA_20180727,W014RC1Q027SBEA_20180829,W014RC1Q027SBEA_20180927,W014RC1Q027SBEA_20181026,W014RC1Q027SBEA_20181128,W014RC1Q027SBEA_20181221,W014RC1Q027SBEA_20190228,W014RC1Q027SBEA_20190328,W014RC1Q027SBEA_20190426,W014RC1Q027SBEA_20190530,W014RC1Q027SBEA_20190627,W014RC1Q027SBEA_20190726,W014RC1Q027SBEA_20190829,W014RC1Q027SBEA_20190926,W014RC1Q027SBEA_20191030,W014RC1Q027SBEA_20191127,W014RC1Q027SBEA_20191220,W014RC1Q027SBEA_20200130,W014RC1Q027SBEA_20200227,W014RC1Q027SBEA_20200326,W014RC1Q027SBEA_20200429,W014RC1Q027SBEA_20200528,W014RC1Q027SBEA_20200625,W014RC1Q027SBEA_20200730,W014RC1Q027SBEA_20200827,W014RC1Q027SBEA_20200930,W014RC1Q027SBEA_20201029,W014RC1Q027SBEA_20201125,W014RC1Q027SBEA_20201222,W014RC1Q027SBEA_20210128,W014RC1Q027SBEA_20210225
1962-07-01,32.0,32.0,32.0,32.0,32.0,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66,31.66
1962-10-01,33.1,33.1,33.1,33.1,33.1,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732,32.732
1963-01-01,34.5,34.5,34.5,34.5,34.5,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116,34.116
1963-04-01,34.7,34.7,34.7,34.7,34.7,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348,34.348
1963-07-01,33.3,33.3,33.3,33.3,33.3,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908,32.908
1963-10-01,34.3,34.3,34.3,34.3,34.3,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892,33.892
1964-01-01,35.5,35.5,35.5,35.5,35.5,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096
1964-04-01,36.0,36.0,36.0,36.0,36.0,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54,35.54
1964-07-01,34.5,34.5,34.5,34.5,34.5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98
1964-10-01,35.4,35.4,35.4,35.4,35.4,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832,34.832
1965-01-01,36.4,36.4,36.4,36.4,36.4,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864,35.864
1965-04-01,38.2,38.2,38.2,38.2,38.2,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588,37.588
1965-07-01,40.1,40.1,40.1,40.1,40.1,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508,39.508
1965-10-01,39.1,39.1,39.1,39.1,39.1,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496,38.496
1966-01-01,41.8,41.8,41.8,41.8,41.8,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092,41.092
1966-04-01,44.1,44.1,44.1,44.1,44.1,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.34
1966-07-01,44.0,44.0,44.0,44.0,44.0,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288,43.288
1966-10-01,47.8,47.8,47.8,47.8,47.8,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076,47.076
